SourcedFrom,FileTimeUtc,Botnet,SourceIp,SourcePort,SourceIpAsnNr,TargetIp,TargetPort,Payload,SourceIpCountryCode,SourceIpRegion,SourceIpCity,SourceIpPostalCode,SourceIpLatitude,SourceIpLongitude,SourceIpMetroCode,SourceIpAreaCode,HttpRequest,HttpReferrer,HttpUserAgent,HttpMethod,HttpVersion,HttpHost,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Threat Confidence
SinkHoleMessage,1.31E+17,B106-Bladabindi,210.186.143.188,53122,AS4788,204.95.99.26,99,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,118.101.55.245,51051,AS4788,204.95.99.109,7777,,MY,,,,2.5,112.5,0,0,POST /ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,175.137.129.101,62594,AS4788,204.95.99.109,333,,MY,7,Ipoh,,4.5841,101.0829,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,118.101.92.185,59295,AS4788,204.95.99.109,95,,MY,12,Shah Alam,,3.0833,101.5333,0,0,lv||UsbV_10D55593||LENOVO-PC/user||MY||WIN_8 X64||5||Windows Defender||,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,219.92.108.132,3629,AS4788,204.95.99.109,88,,MY,2,Alor Setar,,6.121,100.3601,0,0,POST /is-ready HTTP/1.0,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,120.139.116.243,53101,AS38322,204.95.99.109,88,,MY,12,Petaling Jaya,,3.0833,101.65,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-MULTI,218.111.9.87,10250,AS4788,204.95.99.109,88,,MY,4,Melaka,,2.196,102.2405,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Poison,175.139.64.254,50169,AS4788,204.95.99.130,5552,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,212,,,,,,,,,,,Low
SinkHoleMessage,1.31E+17,B106-Bladabindi,175.143.62.211,56419,AS4788,204.95.99.26,888,,MY,14,Kuala Lumpur,,3.1667,101.7,0,0,POST /is-ready HTTP/1.1,,,,,,,,,,,High
SinkHoleMessage,1.31E+17,B106-Malagent,113.210.137.25,61553,AS9534,204.95.99.100,1194,,MY,12,Petaling Jaya,,3.0833,101.65,0,0,"lv|'|'|SGFjS2VkXzMyREQwODlF|'|'|USER-PC|'|'|User|'|'|2013-07-19|'|'|USA|'|'|Win 7 Starter SP1 x86|'|'|No|'|'|0.5.0E|'|'|..|'|'|Tm9hLCB2aWNreSBlbWJhcmF6YWRhLCBqb3JkaSwgYmVhdXRpZnVsbCBncm91cCBmdWNrIC0gU0VYVFZYLkNPTSAtIE1vemlsbGEgRmlyZWZveA==|'|'|682dfec8c66a0de6f1475ca73c462a69,3652f46ef1d77386dc985c42db2a43f8,a4a32fe0594d239b57a01bf6b404e44f,5702673368512820f82155c9e1d5e18a,92d8bf00eaa3b90ed567a539de47a5a5,f8c065f4e758233f0d12dc",,,,,,,,,,,Low
